City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Victoria,HK,22.2855,114.1577,55.45,32,25,3.0,scattered clouds
182,Suamico,US,44.6319,-88.0393,15.49,70,100,3.0,overcast clouds
183,Thinadhoo,MV,0.5333,72.9333,81.23,77,64,12.82,broken clouds
184,Kerema,PG,-7.9631,145.7785,78.33,87,99,2.98,overcast clouds
185,Byron Bay,AU,-28.65,153.6167,73.94,88,35,4.18,scattered clouds
186,Blois,FR,47.5833,1.3333,39.33,75,69,7.18,broken clouds
187,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,40,3.44,light rain
188,Ribeira Grande,PT,38.5167,-28.7,61.77,67,40,14.0,scattered clouds
189,Trairi,BR,-3.2778,-39.2689,86.86,59,49,14.23,scattered clouds
190,Bontang,ID,0.1333,117.5,76.6,90,99,3.8,overcast clouds
191,Binga,ZW,-17.6203,27.3414,73.53,87,64,6.02,light rain
192,Hervey Bay,AU,-25.2986,152.8535,76.12,83,8,5.66,clear sky
193,Ahipara,NZ,-35.1667,173.1667,66.47,96,82,5.68,broken clouds
194,Salym,RU,60.0625,71.4789,-0.08,99,49,4.54,scattered clouds
195,Barrow,US,71.2906,-156.7887,-6.45,96,100,12.28,overcast clouds
196,Sarankhola,BD,22.3082,89.7897,68.83,49,0,5.23,clear sky
197,Itarema,BR,-2.9248,-39.9167,86.49,59,30,15.64,scattered clouds
198,Balboa,CO,2.0396,-77.2168,75.22,57,51,2.98,broken clouds
199,Cabo San Lucas,MX,22.8909,-109.9124,70.52,62,96,3.85,overcast clouds
200,Sovetskiy,RU,61.3614,63.5842,7.61,88,7,7.78,clear sky
201,Kaeo,NZ,-35.1,173.7833,70.32,96,99,6.2,overcast clouds
202,Marshall,US,34.3834,-86.3333,54.3,47,0,5.75,clear sky
203,Bandarbeyla,SO,9.4942,50.8122,75.97,75,43,21.23,scattered clouds
204,Vao,NC,-22.6667,167.4833,76.78,65,100,7.31,overcast clouds
205,Lompoc,US,34.6391,-120.4579,52.52,93,18,1.99,few clouds
206,Aklavik,CA,68.2191,-135.0107,-23.8,69,0,4.61,clear sky
207,Homer,US,59.6425,-151.5483,38.77,81,100,8.99,overcast clouds
208,San Cristobal,VE,7.7669,-72.225,73.58,41,41,4.63,scattered clouds
209,Mount Gambier,AU,-37.8333,140.7667,59.36,96,100,6.53,light rain
210,Caravelas,BR,-17.7125,-39.2481,85.37,60,76,11.41,broken clouds
211,Yichun,CN,47.7,128.9,-27.04,100,38,1.07,scattered clouds
212,Kavaratti,IN,10.5669,72.642,80.04,72,4,10.18,clear sky
213,High Level,CA,58.5169,-117.136,-7.49,77,0,6.91,clear sky
214,Faya,SA,18.3851,42.4509,60.91,59,2,4.09,clear sky
215,Taguatinga,BR,-12.3857,-46.5711,87.17,50,99,3.53,overcast clouds
216,Nanortalik,GL,60.1432,-45.2371,24.31,77,100,37.49,overcast clouds
217,Gafanha Da Encarnacao,PT,40.6181,-8.733,55.78,62,0,12.91,clear sky
218,Komsomolskiy,UZ,40.4272,71.7189,30.92,69,100,4.61,mist
219,Kuryk,KZ,43.2,51.65,34.99,50,3,14.32,clear sky
220,Yar-Sale,RU,66.8333,70.8333,0.41,95,100,7.14,overcast clouds
221,Goba,ET,7.0167,39.9833,52.03,54,10,2.75,clear sky
222,Ilhabela,BR,-23.7781,-45.3581,82.36,77,34,5.57,scattered clouds
223,Zenzeli,RU,45.9241,47.0474,31.69,73,95,12.57,overcast clouds
224,La Malbaie,CA,47.6575,-70.1559,31.05,93,100,8.05,overcast clouds
225,Naze,JP,28.3667,129.4833,47.32,64,97,11.7,overcast clouds
226,Chicama,PE,-7.8447,-79.1469,68.54,59,100,9.22,overcast clouds
227,Shenjiamen,CN,29.9576,122.298,38.39,42,26,6.17,scattered clouds
228,Port-Cartier,CA,50.0334,-66.8654,25.02,95,100,7.87,snow
229,Bengkulu,ID,-3.8004,102.2655,75.97,89,100,9.75,light rain
230,Kyshtovka,RU,56.555,76.6271,16.7,95,100,11.36,light snow
231,Pouebo,NC,-20.4,164.5667,76.53,89,100,5.32,overcast clouds
232,Pop,UZ,40.8736,71.1089,30.69,65,100,2.66,overcast clouds
233,Jizan,SA,17.3333,42.6667,79.74,73,13,4.61,few clouds
234,Prabumulih,ID,-3.45,104.25,73.85,96,99,5.3,overcast clouds
235,Tilichiki,RU,60.4667,166.1,24.48,95,100,7.0,light snow
236,Brokopondo,SR,4.75,-55.1667,81.48,60,49,1.83,scattered clouds
237,Port Elizabeth,ZA,-33.918,25.5701,64.69,97,100,13.8,heavy intensity rain
238,El Prat De Llobregat,ES,41.3278,2.0947,49.14,69,75,7.0,broken clouds
239,Labuhan,ID,-6.8844,112.2051,75.97,92,100,5.66,light rain
240,Ugoofaaru,MV,5.6667,73.0,80.2,77,7,8.12,clear sky
241,Lethem,GY,3.3803,-59.7968,92.19,33,8,9.35,clear sky
242,Stribro,CZ,49.7529,13.0041,27.84,100,47,2.04,scattered clouds
243,Najran,SA,17.4924,44.1277,57.85,62,3,7.96,clear sky
244,Talnakh,RU,69.4865,88.3972,-1.7,96,99,6.49,overcast clouds
245,Chokurdakh,RU,70.6333,147.9167,-34.58,100,94,3.04,overcast clouds
246,Khasan,RU,42.4308,130.6434,8.58,72,43,6.46,scattered clouds
247,Kuusamo,FI,65.9667,29.1833,28.44,93,100,10.36,overcast clouds
248,Ati,TD,13.2154,18.3353,87.33,10,75,7.87,broken clouds
249,Krasnoselkup,RU,65.7,82.4667,8.89,96,100,7.92,overcast clouds
250,Taltal,CL,-25.4,-70.4833,72.28,71,28,7.07,scattered clouds
251,Qaqortoq,GL,60.7167,-46.0333,21.25,76,100,35.23,overcast clouds
252,Salalah,OM,17.0151,54.0924,73.38,35,83,14.63,broken clouds
253,Beringovskiy,RU,63.05,179.3167,14.85,97,93,7.05,overcast clouds
254,San Juan,AR,-31.5375,-68.5364,89.71,25,5,7.52,clear sky
255,Tessaoua,NE,13.7574,7.9874,89.74,10,85,7.18,overcast clouds
256,Middelburg,ZA,-25.7751,29.4648,83.05,20,63,14.23,broken clouds
257,Kasongo-Lunda,CD,-6.4667,16.8167,78.64,74,54,2.46,light rain
258,Touros,BR,-5.1989,-35.4608,86.31,52,9,17.22,clear sky
259,Anadyr,RU,64.75,177.4833,27.1,80,20,13.42,few clouds
260,Saint-Joseph,RE,-21.3667,55.6167,79.18,89,100,2.55,overcast clouds
261,Manaus,BR,-3.1019,-60.025,84.7,70,75,6.91,broken clouds
262,Ambon,ID,-3.6954,128.1814,77.14,94,40,8.05,moderate rain
263,Keskin,TR,39.6731,33.6136,39.52,84,71,4.79,broken clouds
264,Nizhnevartovsk,RU,60.9344,76.5531,1.63,99,97,7.92,overcast clouds
265,Geraldton,AU,-28.7667,114.6,70.21,78,0,19.57,clear sky
266,Moerai,PF,-22.4333,-151.3333,78.66,80,21,11.59,few clouds
267,Norsup,VU,-16.0667,167.3833,81.14,81,11,7.31,few clouds
268,Cidreira,BR,-30.1811,-50.2056,82.35,69,38,11.63,scattered clouds
269,Padang,ID,-0.9492,100.3543,75.25,85,100,3.09,light rain
270,Floro,NO,61.5996,5.0328,42.76,81,100,10.36,overcast clouds
271,Samana,DO,19.2056,-69.3369,79.84,56,71,11.16,broken clouds
272,Jijiga,ET,9.35,42.8,66.07,63,34,13.85,scattered clouds
273,Mayo,US,38.8876,-76.5119,53.98,45,0,8.05,clear sky
274,Novyy Urengoy,RU,66.0833,76.6333,6.89,96,100,7.27,overcast clouds
275,Lebanon,US,36.2081,-86.2911,55.9,46,0,12.66,clear sky
276,Bo Rai,TH,12.5728,102.5371,78.76,54,79,8.75,broken clouds
277,Saint George,US,37.1041,-113.5841,40.42,58,2,1.61,clear sky
278,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,20,5.75,few clouds
279,Wagar,SD,16.1525,36.2032,79.59,45,15,17.25,few clouds
280,Alihe,CN,50.5667,123.7167,-17.91,99,98,1.59,overcast clouds
281,Hualmay,PE,-11.0964,-77.6139,76.33,69,44,10.47,scattered clouds
282,Ambilobe,MG,-13.2,49.05,76.8,89,79,2.89,broken clouds
283,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,84,6.89,broken clouds
284,Mecca,SA,21.4267,39.8261,77.47,51,1,5.68,clear sky
285,Santiago,CL,-33.4569,-70.6483,89.17,20,0,6.93,clear sky
286,Berezovka,BY,53.7214,25.4993,29.1,94,100,2.37,overcast clouds
287,Laguna,US,38.421,-121.4238,51.08,90,0,0.0,clear sky
288,Lavrentiya,RU,65.5833,-171.0,16.61,96,100,1.7,light snow
289,Sitka,US,57.0531,-135.33,38.17,63,4,5.59,clear sky
290,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,70,0,17.27,clear sky
291,Altea,ES,38.5989,-0.0514,54.37,65,38,9.71,scattered clouds
